Index, Month, DayOfMonth, Hour
188,1,8,20
189,1,8,21
190,1,8,22
191,1,8,23
192,1,9,0
193,1,9,1
194,1,9,2
195,1,9,3
196,1,9,4
197,1,9,5
198,1,9,6
199,1,9,7
200,1,9,8
201,1,9,9
202,1,9,10
203,1,9,11
204,1,9,12
205,1,9,13
206,1,9,14
207,1,9,15
208,1,9,16
209,1,9,17
210,1,9,18
211,1,9,19
212,1,9,20
213,1,9,21
214,1,9,22
215,1,9,23
216,1,10,0
217,1,10,1
218,1,10,2
219,1,10,3
220,1,10,4
221,1,10,5
222,1,10,6
223,1,10,7
224,1,10,8
225,1,10,9
226,1,10,10
227,1,10,11
228,1,10,12
229,1,10,13
230,1,10,14
231,1,10,15
232,1,10,16
233,1,10,17
234,1,10,18
235,1,10,19
236,1,10,20
237,1,10,21
238,1,10,22
239,1,10,23
240,1,11,0
241,1,11,1
242,1,11,2
243,1,11,3
244,1,11,4
245,1,11,5
246,1,11,6
247,1,11,7
248,1,11,8
249,1,11,9
250,1,11,10
251,1,11,11
252,1,11,12
253,1,11,13
254,1,11,14
255,1,11,15
256,1,11,16
257,1,11,17
258,1,11,18
259,1,11,19
260,1,11,20
261,1,11,21
262,1,11,22
263,1,11,23
264,1,12,0
265,1,12,1
266,1,12,2
267,1,12,3
268,1,12,4
269,1,12,5
270,1,12,6
271,1,12,7
272,1,12,8
273,1,12,9
274,1,12,10
275,1,12,11
276,1,12,12
277,1,12,13
278,1,12,14
279,1,12,15
280,1,12,16
281,1,12,17
282,1,12,18
283,1,12,19
284,1,12,20
285,1,12,21
286,1,12,22
287,1,12,23
288,1,13,0
289,1,13,1
290,1,13,2
291,1,13,3
292,1,13,4
293,1,13,5
294,1,13,6
295,1,13,7
296,1,13,8
297,1,13,9
298,1,13,10
299,1,13,11
300,1,13,12
301,1,13,13
302,1,13,14
303,1,13,15
304,1,13,16
305,1,13,17
306,1,13,18
307,1,13,19
308,1,13,20
309,1,13,21
310,1,13,22
311,1,13,23
312,1,14,0
313,1,14,1
314,1,14,2
315,1,14,3
316,1,14,4
317,1,14,5
318,1,14,6
319,1,14,7
320,1,14,8
321,1,14,9
322,1,14,10
323,1,14,11
324,1,14,12
325,1,14,13
326,1,14,14
327,1,14,15
328,1,14,16
329,1,14,17
330,1,14,18
331,1,14,19
332,1,14,20
333,1,14,21
334,1,14,22
335,1,14,23
336,1,15,0
337,1,15,1
338,1,15,2
339,1,15,3
340,1,15,4
341,1,15,5
342,1,15,6
343,1,15,7
344,1,15,8
345,1,15,9
346,1,15,10
347,1,15,11
348,1,15,12
349,1,15,13
350,1,15,14
351,1,15,15
352,1,15,16
353,1,15,17
354,1,15,18
355,1,15,19
356,1,15,20
357,1,15,21
358,1,15,22
359,1,15,23
360,1,16,0
361,1,16,1
362,1,16,2
363,1,16,3
364,1,16,4
365,1,16,5
366,1,16,6
367,1,16,7
368,1,16,8
369,1,16,9
370,1,16,10
371,1,16,11
372,1,16,12
373,1,16,13
374,1,16,14
375,1,16,15
376,1,16,16
377,1,16,17
378,1,16,18
379,1,16,19
380,1,16,20
381,1,16,21
382,1,16,22
383,1,16,23
384,1,17,0
385,1,17,1
386,1,17,2
387,1,17,3
388,1,17,4
389,1,17,5
390,1,17,6
391,1,17,7
392,1,17,8
393,1,17,9
394,1,17,10
395,1,17,11
396,1,17,12
397,1,17,13
398,1,17,14
399,1,17,15
400,1,17,16
401,1,17,17
402,1,17,18
403,1,17,19
404,1,17,20
405,1,17,21
406,1,17,22
407,1,17,23
408,1,18,0
409,1,18,1
410,1,18,2
411,1,18,3
412,1,18,4
413,1,18,5
414,1,18,6
415,1,18,7
416,1,18,8
417,1,18,9
418,1,18,10
419,1,18,11
420,1,18,12
421,1,18,13
422,1,18,14
423,1,18,15
424,1,18,16
425,1,18,17
426,1,18,18
427,1,18,19
428,1,18,20
429,1,18,21
430,1,18,22
431,1,18,23
432,1,19,0
433,1,19,1
434,1,19,2
435,1,19,3
436,1,19,4
437,1,19,5
438,1,19,6
439,1,19,7
440,1,19,8
441,1,19,9
442,1,19,10
443,1,19,11
444,1,19,12
445,1,19,13
446,1,19,14
447,1,19,15
448,1,19,16
449,1,19,17
450,1,19,18
451,1,19,19
452,1,19,20
453,1,19,21
454,1,19,22
455,1,19,23
456,1,20,0
457,1,20,1
458,1,20,2
459,1,20,3
460,1,20,4
461,1,20,5
462,1,20,6
463,1,20,7
464,1,20,8
465,1,20,9
466,1,20,10
467,1,20,11
468,1,20,12
469,1,20,13
470,1,20,14
471,1,20,15
472,1,20,16
473,1,20,17
474,1,20,18
475,1,20,19
476,1,20,20
477,1,20,21
478,1,20,22
479,1,20,23
480,1,21,0
481,1,21,1
482,1,21,2
483,1,21,3
484,1,21,4
485,1,21,5
486,1,21,6
487,1,21,7
488,1,21,8
489,1,21,9
490,1,21,10
491,1,21,11
492,1,21,12
493,1,21,13
494,1,21,14
495,1,21,15
496,1,21,16
497,1,21,17
498,1,21,18
499,1,21,19
500,1,21,20
501,1,21,21
502,1,21,22
503,1,21,23
504,1,22,0
505,1,22,1
506,1,22,2
507,1,22,3
508,1,22,4
509,1,22,5
510,1,22,6
511,1,22,7
512,1,22,8
513,1,22,9
514,1,22,10
515,1,22,11
516,1,22,12
517,1,22,13
518,1,22,14
519,1,22,15
520,1,22,16
521,1,22,17
522,1,22,18
523,1,22,19
524,1,22,20
525,1,22,21
526,1,22,22
527,1,22,23
528,1,23,0
529,1,23,1
530,1,23,2
531,1,23,3
532,1,23,4
533,1,23,5
534,1,23,6
535,1,23,7
536,1,23,8
537,1,23,9
538,1,23,10
539,1,23,11
540,1,23,12
541,1,23,13
542,1,23,14
543,1,23,15
544,1,23,16
545,1,23,17
546,1,23,18
547,1,23,19
548,1,23,20
549,1,23,21
550,1,23,22
551,1,23,23
552,1,24,0
553,1,24,1
554,1,24,2
555,1,24,3
556,1,24,4
557,1,24,5
558,1,24,6
559,1,24,7
560,1,24,8
561,1,24,9
562,1,24,10
563,1,24,11
564,1,24,12
565,1,24,13
566,1,24,14
567,1,24,15
568,1,24,16
569,1,24,17
570,1,24,18
571,1,24,19
572,1,24,20
573,1,24,21
574,1,24,22
575,1,24,23
576,1,25,0
577,1,25,1
578,1,25,2
579,1,25,3
580,1,25,4
581,1,25,5
582,1,25,6
583,1,25,7
584,1,25,8
585,1,25,9
586,1,25,10
587,1,25,11
588,1,25,12
589,1,25,13
590,1,25,14
591,1,25,15
592,1,25,16
593,1,25,17
594,1,25,18
595,1,25,19
596,1,25,20
597,1,25,21
598,1,25,22
599,1,25,23
600,1,26,0
601,1,26,1
602,1,26,2
603,1,26,3
604,1,26,4
605,1,26,5
606,1,26,6
607,1,26,7
608,1,26,8
609,1,26,9
610,1,26,10
611,1,26,11
612,1,26,12
613,1,26,13
614,1,26,14
615,1,26,15
616,1,26,16
617,1,26,17
618,1,26,18
619,1,26,19
620,1,26,20
621,1,26,21
622,1,26,22
623,1,26,23
624,1,27,0
625,1,27,1
626,1,27,2
627,1,27,3
628,1,27,4
629,1,27,5
630,1,27,6
631,1,27,7
632,1,27,8
633,1,27,9
634,1,27,10
635,1,27,11
636,1,27,12
637,1,27,13
638,1,27,14
639,1,27,15
640,1,27,16
641,1,27,17
642,1,27,18
643,1,27,19
644,1,27,20
645,1,27,21
646,1,27,22
647,1,27,23
648,1,28,0
649,1,28,1
650,1,28,2
651,1,28,3
652,1,28,4
653,1,28,5
654,1,28,6
655,1,28,7
656,1,28,8
657,1,28,9
658,1,28,10
659,1,28,11
660,1,28,12
661,1,28,13
662,1,28,14
663,1,28,15
664,1,28,16
665,1,28,17
666,1,28,18
667,1,28,19
668,1,28,20
669,1,28,21
670,1,28,22
671,1,28,23
672,1,29,0
673,1,29,1
674,1,29,2
675,1,29,3
676,1,29,4
677,1,29,5
678,1,29,6
679,1,29,7
680,1,29,8
681,1,29,9
682,1,29,10
683,1,29,11
684,1,29,12
685,1,29,13
686,1,29,14
687,1,29,15
688,1,29,16
689,1,29,17
690,1,29,18
691,1,29,19
692,1,29,20
693,1,29,21
694,1,29,22
695,1,29,23
696,1,30,0
697,1,30,1
698,1,30,2
699,1,30,3
700,1,30,4
701,1,30,5
702,1,30,6
703,1,30,7
704,1,30,8
705,1,30,9
706,1,30,10
707,1,30,11
708,1,30,12
709,1,30,13
710,1,30,14
711,1,30,15
712,1,30,16
713,1,30,17
714,1,30,18
715,1,30,19
716,1,30,20
717,1,30,21
718,1,30,22
719,1,30,23
720,1,31,0
721,1,31,1
722,1,31,2
723,1,31,3
724,1,31,4
725,1,31,5
726,1,31,6
727,1,31,7
728,1,31,8
729,1,31,9
730,1,31,10
731,1,31,11
732,1,31,12
733,1,31,13
734,1,31,14
735,1,31,15
736,1,31,16
737,1,31,17
738,1,31,18
739,1,31,19
740,1,31,20
741,1,31,21
742,1,31,22
743,1,31,23
744,2,1,0
745,2,1,1
746,2,1,2
747,2,1,3
748,2,1,4
749,2,1,5
750,2,1,6
751,2,1,7
752,2,1,8
753,2,1,9
754,2,1,10
755,2,1,11
756,2,1,12
757,2,1,13
758,2,1,14
759,2,1,15
760,2,1,16
761,2,1,17
762,2,1,18
763,2,1,19
764,2,1,20
765,2,1,21
766,2,1,22
767,2,1,23
768,2,2,0
769,2,2,1
770,2,2,2
771,2,2,3
772,2,2,4
773,2,2,5
774,2,2,6
775,2,2,7
776,2,2,8
777,2,2,9
778,2,2,10
779,2,2,11
780,2,2,12
781,2,2,13
782,2,2,14
783,2,2,15
784,2,2,16
785,2,2,17
786,2,2,18
787,2,2,19
788,2,2,20
789,2,2,21
790,2,2,22
791,2,2,23
792,2,3,0
793,2,3,1
794,2,3,2
795,2,3,3
796,2,3,4
797,2,3,5
798,2,3,6
799,2,3,7
800,2,3,8
801,2,3,9
802,2,3,10
803,2,3,11
804,2,3,12
805,2,3,13
806,2,3,14
807,2,3,15
808,2,3,16
809,2,3,17
810,2,3,18
811,2,3,19
812,2,3,20
813,2,3,21
814,2,3,22
815,2,3,23
816,2,4,0
817,2,4,1
818,2,4,2
819,2,4,3
820,2,4,4
821,2,4,5
822,2,4,6
823,2,4,7
824,2,4,8
825,2,4,9
826,2,4,10
827,2,4,11
828,2,4,12
829,2,4,13
830,2,4,14
831,2,4,15
832,2,4,16
833,2,4,17
834,2,4,18
835,2,4,19
836,2,4,20
837,2,4,21
838,2,4,22
839,2,4,23
840,2,5,0
841,2,5,1
842,2,5,2
843,2,5,3
844,2,5,4
845,2,5,5
846,2,5,6
847,2,5,7
848,2,5,8
849,2,5,9
850,2,5,10
851,2,5,11
852,2,5,12
853,2,5,13
854,2,5,14
855,2,5,15
856,2,5,16
857,2,5,17
858,2,5,18
859,2,5,19
860,2,5,20
861,2,5,21
862,2,5,22
863,2,5,23
864,2,6,0
865,2,6,1
866,2,6,2
867,2,6,3
868,2,6,4
869,2,6,5
870,2,6,6
871,2,6,7
872,2,6,8
873,2,6,9
874,2,6,10
875,2,6,11
876,2,6,12
877,2,6,13
878,2,6,14
879,2,6,15
880,2,6,16
881,2,6,17
882,2,6,18
883,2,6,19
884,2,6,20
885,2,6,21
886,2,6,22
887,2,6,23
888,2,7,0
889,2,7,1
890,2,7,2
891,2,7,3
892,2,7,4
893,2,7,5
894,2,7,6
895,2,7,7
896,2,7,8
897,2,7,9
898,2,7,10
899,2,7,11
900,2,7,12
901,2,7,13
902,2,7,14
903,2,7,15
904,2,7,16
905,2,7,17
906,2,7,18
907,2,7,19
908,2,7,20
909,2,7,21
910,2,7,22
911,2,7,23
912,2,8,0
913,2,8,1
914,2,8,2
915,2,8,3
916,2,8,4
917,2,8,5
918,2,8,6
919,2,8,7
920,2,8,8
921,2,8,9
922,2,8,10
923,2,8,11
924,2,8,12
925,2,8,13
926,2,8,14
927,2,8,15
928,2,8,16
929,2,8,17
930,2,8,18
931,2,8,19
932,2,8,20
933,2,8,21
934,2,8,22
935,2,8,23
936,2,9,0
937,2,9,1
938,2,9,2
939,2,9,3
940,2,9,4
941,2,9,5
942,2,9,6
943,2,9,7
944,2,9,8
945,2,9,9
946,2,9,10
947,2,9,11
948,2,9,12
949,2,9,13
950,2,9,14
951,2,9,15
952,2,9,16
953,2,9,17
954,2,9,18
955,2,9,19
956,2,9,20
957,2,9,21
958,2,9,22
959,2,9,23
960,2,10,0
961,2,10,1
962,2,10,2
963,2,10,3
964,2,10,4
965,2,10,5
966,2,10,6
967,2,10,7
968,2,10,8
969,2,10,9
970,2,10,10
971,2,10,11
972,2,10,12
973,2,10,13
974,2,10,14
975,2,10,15
976,2,10,16
977,2,10,17
978,2,10,18
979,2,10,19
980,2,10,20
981,2,10,21
982,2,10,22
983,2,10,23
984,2,11,0
985,2,11,1
986,2,11,2
987,2,11,3
988,2,11,4
989,2,11,5
990,2,11,6
991,2,11,7
992,2,11,8
993,2,11,9
994,2,11,10
995,2,11,11
996,2,11,12
997,2,11,13
998,2,11,14
999,2,11,15
1000,2,11,16
1001,2,11,17
1002,2,11,18
1003,2,11,19
1004,2,11,20
1005,2,11,21
1006,2,11,22
1007,2,11,23
1008,2,12,0
1009,2,12,1
1010,2,12,2
1011,2,12,3
1012,2,12,4
1013,2,12,5
1014,2,12,6
1015,2,12,7
1016,2,12,8
1017,2,12,9
1018,2,12,10
1019,2,12,11
1020,2,12,12
1021,2,12,13
1022,2,12,14
1023,2,12,15
1024,2,12,16
1025,2,12,17
1026,2,12,18
1027,2,12,19
1028,2,12,20
1029,2,12,21
1030,2,12,22
1031,2,12,23
1032,2,13,0
1033,2,13,1
1034,2,13,2
1035,2,13,3
1036,2,13,4
1037,2,13,5
1038,2,13,6
1039,2,13,7
1040,2,13,8
1041,2,13,9
1042,2,13,10
1043,2,13,11
1044,2,13,12
1045,2,13,13
1046,2,13,14
1047,2,13,15
1048,2,13,16
1049,2,13,17
1050,2,13,18
1051,2,13,19
1052,2,13,20
1053,2,13,21
1054,2,13,22
1055,2,13,23
1056,2,14,0
1057,2,14,1
1058,2,14,2
1059,2,14,3
1060,2,14,4
1061,2,14,5
1062,2,14,6
1063,2,14,7
1064,2,14,8
1065,2,14,9
1066,2,14,10
1067,2,14,11
1068,2,14,12
1069,2,14,13
1070,2,14,14
1071,2,14,15
1072,2,14,16
1073,2,14,17
1074,2,14,18
1075,2,14,19
1076,2,14,20
1077,2,14,21
1078,2,14,22
1079,2,14,23
1080,2,15,0
1081,2,15,1
1082,2,15,2
1083,2,15,3
1084,2,15,4
1085,2,15,5
1086,2,15,6
1087,2,15,7
1088,2,15,8
1089,2,15,9
1090,2,15,10
1091,2,15,11
1092,2,15,12
1093,2,15,13
1094,2,15,14
1095,2,15,15
1096,2,15,16
1097,2,15,17
1098,2,15,18
1099,2,15,19
1100,2,15,20
1101,2,15,21
1102,2,15,22
1103,2,15,23
1104,2,16,0
1105,2,16,1
1106,2,16,2
1107,2,16,3
1108,2,16,4
1109,2,16,5
1110,2,16,6
1111,2,16,7
1112,2,16,8
1113,2,16,9
1114,2,16,10
1115,2,16,11
1116,2,16,12
1117,2,16,13
1118,2,16,14
1119,2,16,15
1120,2,16,16
1121,2,16,17
1122,2,16,18
1123,2,16,19
1124,2,16,20
1125,2,16,21
1126,2,16,22
1127,2,16,23
1128,2,17,0
1129,2,17,1
1130,2,17,2
1131,2,17,3
1132,2,17,4
1133,2,17,5
1134,2,17,6
1135,2,17,7
1136,2,17,8
1137,2,17,9
1138,2,17,10
1139,2,17,11
1140,2,17,12
1141,2,17,13
1142,2,17,14
1143,2,17,15
1144,2,17,16
1145,2,17,17
1146,2,17,18
1147,2,17,19
1148,2,17,20
1149,2,17,21
1150,2,17,22
1151,2,17,23
1152,2,18,0
1153,2,18,1
1154,2,18,2
1155,2,18,3
1156,2,18,4
1157,2,18,5
1158,2,18,6
1159,2,18,7
1160,2,18,8
1161,2,18,9
1162,2,18,10
1163,2,18,11
1164,2,18,12
1165,2,18,13
1166,2,18,14
1167,2,18,15
1168,2,18,16
1169,2,18,17
1170,2,18,18
1171,2,18,19
1172,2,18,20
1173,2,18,21
1174,2,18,22
1175,2,18,23
1176,2,19,0
1177,2,19,1
1178,2,19,2
1179,2,19,3
1180,2,19,4
1181,2,19,5
1182,2,19,6
1183,2,19,7
1184,2,19,8
1185,2,19,9
1186,2,19,10
1187,2,19,11
1188,2,19,12
1189,2,19,13
1190,2,19,14
1191,2,19,15
1192,2,19,16
1193,2,19,17
1194,2,19,18
1195,2,19,19
1196,2,19,20
1197,2,19,21
1198,2,19,22
1199,2,19,23
1200,2,20,0
1201,2,20,1
1202,2,20,2
1203,2,20,3
1204,2,20,4
1205,2,20,5
1206,2,20,6
1207,2,20,7
1208,2,20,8
1209,2,20,9
1210,2,20,10
1211,2,20,11
1212,2,20,12
1213,2,20,13
1214,2,20,14
1215,2,20,15
1216,2,20,16
1217,2,20,17
1218,2,20,18
1219,2,20,19
1220,2,20,20
1221,2,20,21
1222,2,20,22
1223,2,20,23
1224,2,21,0
1225,2,21,1
1226,2,21,2
1227,2,21,3
1228,2,21,4
1229,2,21,5
1230,2,21,6
1231,2,21,7
1232,2,21,8
1233,2,21,9
1234,2,21,10
1235,2,21,11
1236,2,21,12
1237,2,21,13
1238,2,21,14
1239,2,21,15
1240,2,21,16
1241,2,21,17
1242,2,21,18
1243,2,21,19
1244,2,21,20
1245,2,21,21
1246,2,21,22
1247,2,21,23
1248,2,22,0
1249,2,22,1
1250,2,22,2
1251,2,22,3
1252,2,22,4
1253,2,22,5
1254,2,22,6
1255,2,22,7
1256,2,22,8
1257,2,22,9
1258,2,22,10
1259,2,22,11
1260,2,22,12
1261,2,22,13
1262,2,22,14
1263,2,22,15
1264,2,22,16
1265,2,22,17
1266,2,22,18
1267,2,22,19
1268,2,22,20
1269,2,22,21
1270,2,22,22
1271,2,22,23
1272,2,23,0
1273,2,23,1
1274,2,23,2
1275,2,23,3
1276,2,23,4
1277,2,23,5
1278,2,23,6
1279,2,23,7
1280,2,23,8
1281,2,23,9
1282,2,23,10
1283,2,23,11
1284,2,23,12
1285,2,23,13
1286,2,23,14
1287,2,23,15
1288,2,23,16
1289,2,23,17
1290,2,23,18
1291,2,23,19
1292,2,23,20
1293,2,23,21
1294,2,23,22
1295,2,23,23
1296,2,24,0
1297,2,24,1
1298,2,24,2
1299,2,24,3
1300,2,24,4
1301,2,24,5
1302,2,24,6
1303,2,24,7
1304,2,24,8
1305,2,24,9
1306,2,24,10
1307,2,24,11
1308,2,24,12
1309,2,24,13
1310,2,24,14
1311,2,24,15
1312,2,24,16
1313,2,24,17
1314,2,24,18
1315,2,24,19
1316,2,24,20
1317,2,24,21
1318,2,24,22
1319,2,24,23
1320,2,25,0
1321,2,25,1
1322,2,25,2
1323,2,25,3
1324,2,25,4
1325,2,25,5
1326,2,25,6
1327,2,25,7
1328,2,25,8
1329,2,25,9
1330,2,25,10
1331,2,25,11
1332,2,25,12
1333,2,25,13
1334,2,25,14
1335,2,25,15
1336,2,25,16
1337,2,25,17
1338,2,25,18
1339,2,25,19
1340,2,25,20
1341,2,25,21
1342,2,25,22
1343,2,25,23
1344,2,26,0
1345,2,26,1
1346,2,26,2
1347,2,26,3
1348,2,26,4
1349,2,26,5
1350,2,26,6
1351,2,26,7
1352,2,26,8
1353,2,26,9
1354,2,26,10
1355,2,26,11
1356,2,26,12
1357,2,26,13
1358,2,26,14
1359,2,26,15
1360,2,26,16
1361,2,26,17
1362,2,26,18
1363,2,26,19
1364,2,26,20
1365,2,26,21
1366,2,26,22
1367,2,26,23
1368,2,27,0
1369,2,27,1
1370,2,27,2
1371,2,27,3
1372,2,27,4
1373,2,27,5
1374,2,27,6
1375,2,27,7
1376,2,27,8
1377,2,27,9
1378,2,27,10
1379,2,27,11
1380,2,27,12
1381,2,27,13
1382,2,27,14
1383,2,27,15
1384,2,27,16
1385,2,27,17
1386,2,27,18
1387,2,27,19
1388,2,27,20
1389,2,27,21
1390,2,27,22
1391,2,27,23
1392,2,28,0
1393,2,28,1
1394,2,28,2
1395,2,28,3
1396,2,28,4
1397,2,28,5
1398,2,28,6
1399,2,28,7
1400,2,28,8
1401,2,28,9
1402,2,28,10
1403,2,28,11
1404,2,28,12
1405,2,28,13
1406,2,28,14
1407,2,28,15
1408,2,28,16
1409,2,28,17
1410,2,28,18
1411,2,28,19
1412,2,28,20
1413,2,28,21
1414,2,28,22
1415,2,28,23
1416,3,1,0
1417,3,1,1
1418,3,1,2
1419,3,1,3
1420,3,1,4
1421,3,1,5
1422,3,1,6
1423,3,1,7
1424,3,1,8
1425,3,1,9
1426,3,1,10
1427,3,1,11
1428,3,1,12
1429,3,1,13
1430,3,1,14
1431,3,1,15
1432,3,1,16
1433,3,1,17
1434,3,1,18
1435,3,1,19
1436,3,1,20
1437,3,1,21
1438,3,1,22
1439,3,1,23
1440,3,2,0
1441,3,2,1
1442,3,2,2
1443,3,2,3
1444,3,2,4
1445,3,2,5
1446,3,2,6
1447,3,2,7
1448,3,2,8
1449,3,2,9
1450,3,2,10
1451,3,2,11
1452,3,2,12
1453,3,2,13
1454,3,2,14
1455,3,2,15
1456,3,2,16
1457,3,2,17
1458,3,2,18
1459,3,2,19
1460,3,2,20
1461,3,2,21
1462,3,2,22
1463,3,2,23
1464,3,3,0
1465,3,3,1
1466,3,3,2
1467,3,3,3
1468,3,3,4
1469,3,3,5
1470,3,3,6
1471,3,3,7
1472,3,3,8
1473,3,3,9
1474,3,3,10
1475,3,3,11
1476,3,3,12
1477,3,3,13
1478,3,3,14
1479,3,3,15
1480,3,3,16
1481,3,3,17
1482,3,3,18
1483,3,3,19
1484,3,3,20
1485,3,3,21
1486,3,3,22
1487,3,3,23
1488,3,4,0
1489,3,4,1
1490,3,4,2
1491,3,4,3
1492,3,4,4
1493,3,4,5
1494,3,4,6
1495,3,4,7
1496,3,4,8
1497,3,4,9
1498,3,4,10
1499,3,4,11
1500,3,4,12
1501,3,4,13
1502,3,4,14
1503,3,4,15
1504,3,4,16
1505,3,4,17
1506,3,4,18
1507,3,4,19
1508,3,4,20
1509,3,4,21
1510,3,4,22
1511,3,4,23
1512,3,5,0
1513,3,5,1
1514,3,5,2
1515,3,5,3
1516,3,5,4
1517,3,5,5
1518,3,5,6
1519,3,5,7
1520,3,5,8
1521,3,5,9
1522,3,5,10
1523,3,5,11
1524,3,5,12
1525,3,5,13
1526,3,5,14
1527,3,5,15
1528,3,5,16
1529,3,5,17
1530,3,5,18
1531,3,5,19
1532,3,5,20
1533,3,5,21
1534,3,5,22
1535,3,5,23
1536,3,6,0
1537,3,6,1
1538,3,6,2
1539,3,6,3
1540,3,6,4
1541,3,6,5
1542,3,6,6
1543,3,6,7
1544,3,6,8
1545,3,6,9
1546,3,6,10
1547,3,6,11
1548,3,6,12
1549,3,6,13
1550,3,6,14
1551,3,6,15
1552,3,6,16
1553,3,6,17
1554,3,6,18
1555,3,6,19
1556,3,6,20
1557,3,6,21
1558,3,6,22
1559,3,6,23
1560,3,7,0
1561,3,7,1
1562,3,7,2
1563,3,7,3
1564,3,7,4
1565,3,7,5
1566,3,7,6
1567,3,7,7
1568,3,7,8
1569,3,7,9
1570,3,7,10
1571,3,7,11
1572,3,7,12
1573,3,7,13
1574,3,7,14
1575,3,7,15
1576,3,7,16
1577,3,7,17
1578,3,7,18
1579,3,7,19
1580,3,7,20
1581,3,7,21
1582,3,7,22
1583,3,7,23
1584,3,8,0
1585,3,8,1
1586,3,8,2
1587,3,8,3
1588,3,8,4
1589,3,8,5
1590,3,8,6
1591,3,8,7
1592,3,8,8
1593,3,8,9
1594,3,8,10
1595,3,8,11
1596,3,8,12
1597,3,8,13
1598,3,8,14
1599,3,8,15
1600,3,8,16
1601,3,8,17
1602,3,8,18
1603,3,8,19
1604,3,8,20
1605,3,8,21
1606,3,8,22
1607,3,8,23
1608,3,9,0
1609,3,9,1
1610,3,9,2
1611,3,9,3
1612,3,9,4
1613,3,9,5
1614,3,9,6
1615,3,9,7
1616,3,9,8
1617,3,9,9
1618,3,9,10
1619,3,9,11
1620,3,9,12
1621,3,9,13
1622,3,9,14
1623,3,9,15
1624,3,9,16
1625,3,9,17
1626,3,9,18
1627,3,9,19
1628,3,9,20
1629,3,9,21
1630,3,9,22
1631,3,9,23
1632,3,10,0
1633,3,10,1
1634,3,10,2
1635,3,10,3
1636,3,10,4
1637,3,10,5
1638,3,10,6
1639,3,10,7
1640,3,10,8
1641,3,10,9
1642,3,10,10
1643,3,10,11
1644,3,10,12
1645,3,10,13
1646,3,10,14
1647,3,10,15
1648,3,10,16
1649,3,10,17
1650,3,10,18
1651,3,10,19
1652,3,10,20
1653,3,10,21
1654,3,10,22
1655,3,10,23
1656,3,11,0
1657,3,11,1
1658,3,11,2
1659,3,11,3
1660,3,11,4
1661,3,11,5
